term,Dpth_Max,DpthThlwgExit,DpthResid,LWCount,FishCovLW,FishCovTVeg,FishCovUcut,FishCovArt,FishCovAqVeg,FishCovNone,FishCovTotal,SubEstBdrk,SubEstBldr,SubEstCbl,SubEstGrvl,SubEstSandFines,SubEstTotal,n_UC,Ucut_Length,Ucut_Area,UcutArea_Pct,Elev_M,CUMDRAINAG,Discharge,CU_Freq,Sin,SubD50,WetBraid,Grad,Cond,FishCovSome,SubEstCandBldr,LWDens
Dpth_Max,NA,0.4762415220001389,0.8995394599854541,0.35431923365059764,0.03444075994009482,-0.07186462036409916,NA,0.1342306248123053,-0.11935219687144095,0.08754900137151321,0.06908770737726941,0.1212104988664437,0.038727689571389196,0.0154390875460597,-0.2534316790583902,0.21383956889215233,0.018304325464180347,0.3528794489393528,0.2386800553945797,0.2620776829734783,-0.02876587428424885,-0.3102761645149044,0.28858686430278463,0.4804733015247582,-0.3190134463919536,0.0490564910199665,0.0934016265397895,-0.009523512503456798,-0.22677250155524417,-0.12844573580436836,-0.08754900137151321,0.03130849569749076,-0.025437941679164418
DpthThlwgExit,0.4762415220001389,NA,0.04427873492037088,0.17438646544149114,-0.07659904370460734,-0.003767800396400435,NA,-0.034371305016037315,-0.12545226166320472,0.14972772702487913,0.031700437841133945,0.0787557346782288,0.13556381418892496,0.09137513457861632,-0.23426629509020752,0.08158550908604553,NA,0.07285347462809616,0.14993899937680188,0.15122034603432435,-0.05306694974567108,-0.1537061208900277,0.15957345884369045,0.45147450400533773,-0.32077042014881485,0.032331485907279064,0.21283362066603193,-0.0410705049310892,-0.19668468107458556,-0.11000424154035866,-0.14972772702487913,0.1381611101382757,-0.09986099932020234
DpthResid,0.8995394599854541,0.04427873492037088,NA,0.282182542153806,0.06431534345602756,-0.016082535883623576,NA,0.0020944943292550916,-0.12576542748449185,0.05908761533147131,0.03130907037911426,0.11150690208903313,-0.03141766381681284,-0.08091941914923657,-0.18666935626879644,0.2875165497611548,NA,0.3566231704179146,0.2107909259166609,0.23653272832847538,-0.0068062550781916205,-0.30034421559604996,0.26440412345646747,0.38172404943109667,-0.21890347896863296,0.043685596697817054,-0.008365573167399389,-0.01402025554908571,-0.17035899262264237,-0.11540425328287736,-0.05908761533147131,-0.07567654165610342,-0.023983212759300158
LWCount,0.35431923365059764,0.17438646544149114,0.282182542153806,NA,0.15954946641502246,-0.10679974393232347,NA,0.16869056135529745,-0.08196024026022589,-0.0098594712176041,0.0971797430146078,-0.02990382597534314,0.022125464538305228,0.052497928542599194,-0.14717917546395626,0.10620554780669161,-0.04972056869491621,0.34921034482244667,0.1494410880442865,0.16812000831215415,-0.023837307056408304,-0.28562633655598946,0.1857897127607237,0.27743065277143114,-0.18408729726162812,-0.023914022253945358,0.06843865981296302,0.07725027828713737,-0.12726529203802886,-0.10980453513668861,0.0098594712176041,0.04906230687552994,0.1601541681673168
FishCovLW,0.03444075994009482,-0.07659904370460734,0.06431534345602756,0.15954946641502246,NA,0.04376668749758485,NA,0.09811025379430956,-0.1047875772650148,-0.6351116303955454,0.09395472875613103,-0.049077806387016545,-0.08956618314655239,-0.1351631826710895,-0.1541717342806318,0.33852254133859944,NA,-0.16334163254989928,-0.12367572668312792,-0.1041097816696206,0.03828265203494825,-0.07966439618442561,-0.1299535984425392,-0.12760968767466188,0.317895110800735,-0.06287888545498174,-0.21350341782918278,0.024431212435035512,0.07531747968050236,0.021183802106134627,0.6351116303955454,-0.1436653703556521,0.3479624248988294
FishCovTVeg,-0.07186462036409916,-0.003767800396400435,-0.016082535883623576,-0.10679974393232347,0.04376668749758485,NA,NA,-0.01912022059634519,0.0502668790916118,-0.41894088187358375,0.25400652364344856,-0.03326094799245399,-0.12707860761889406,-0.1573706087975382,0.008142190012696414,0.20226212565580903,NA,-0.07020836201599785,-0.011576988132080492,0.01809965891013426,0.0778986653493791,-0.016429640540262712,-0.18269544014734368,-0.07331066417215937,0.14355649788688038,-0.012537866702173033,-0.1052926441530775,-0.05372646705472944,0.07307246673783789,0.035999976566456544,0.41894088187358375,-0.17921228805767858,-0.011655382037499941
FishCovUcut,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FishCovArt,0.1342306248123053,-0.034371305016037315,0.0020944943292550916,0.16869056135529745,0.09811025379430956,-0.01912022059634519,NA,NA,0.05894552933775947,-0.14832824826431004,-0.00222253158611418,-0.011031124767806282,0.021465834155147807,-0.04164621405089636,-0.0807536784388524,0.10985639278370657,NA,0.07136803024193712,-0.015657287270070156,-0.01638171168822177,-0.008381838423641976,-0.03905794586340135,-0.009868563784835877,0.02503006163408138,-0.027081596361427967,-0.026961016306845824,-0.02052627957791504,-0.03782568695218166,-0.03163788825221069,0.015004279010654249,0.14832824826431004,-0.018563136359580783,-0.002304432343300878
FishCovAqVeg,-0.11935219687144095,-0.12545226166320472,-0.12576542748449185,-0.08196024026022589,-0.1047875772650148,0.0502668790916118,NA,0.05894552933775947,NA,-0.6043627839747187,0.23136307308585943,-0.06389807846151849,-0.22411147519247412,-0.22733200475652604,0.3281325151538576,-0.02041032244915623,NA,0.01174020839515771,0.03888986207706194,-0.02359745494816412,-0.0025980308954770322,0.4162742843692182,-0.03237456010110902,-0.050949058632172486,-0.04469577064016189,0.3495973447100344,-0.30372024449245755,0.07344697202329234,-0.1331163270816016,0.31972666798543814,0.6043627839747187,-0.28012066981858225,-0.07752503617785059
FishCovNone,0.08754900137151321,0.14972772702487913,0.05908761533147131,-0.0098594712176041,-0.6351116303955454,-0.41894088187358375,NA,-0.14832824826431004,-0.6043627839747187,NA,-0.19882417029504815,0.09000879050775956,0.25827471907946314,0.30056668774985257,-0.10801251899260603,-0.30094037693975384,NA,0.08954384354237409,0.05844908900116352,0.07538187939391457,-0.05715525659373296,-0.20771936916230782,0.18236759040589523,0.15720277986226727,-0.25289888590325127,-0.1899693911706294,0.39427536872030006,-0.045627135479437676,0.0030033212820364877,-0.23980886673159185,-1,0.3504361218769339,-0.18474641289980398
