MetricCategory,Metric,Model_select,,dataset,var,obsCV,non_NA,is_NA,perc_NA,non_0,perc_non0,MAS,MEV,MCN,MICR2,GMIC,TIC,MetricGroupName,Name,species.y,MIC.y,MIC_diff,MIC_diff_direction,MIC_rel_diff,RestoInform
Complexity,DpthThlwg_UF_CV,1,,Summer_CHaMP,0.033287177,0.406211045,593,4,0.007,593,0.993299832,0.009931617,0.16408638,3,NA,0.08023614,6.815393321,Visit Metric,Thalweg Depth CV,Chinook,0.187850157,0.023763776,-,1.144824794,1
Complexity,WetWdth_CV,0,,Summer_CHaMP,0.011767415,0.413169208,588,9,0.015,588,0.984924623,0.024564666,0.162963694,3,NA,0.082534155,6.212078393,Visit Metric,Wetted Width CV,Chinook,0.180058534,0.01709484,-,1.104899687,1
Complexity,Sin,1,centerline,Summer_CHaMP,0.058849986,0.196884906,593,4,0.007,593,0.993299832,0.009745471,0.157986444,3,NA,0.074394843,6.227135356,Visit Metric,Sinuosity,Chinook,0.169683365,0.011696921,-,1.074037495,1
Cover,FishCovLW,1,,Summer_CHaMP,35.66262574,1.077079548,587,10,0.017,520,0.871021776,0.030146956,0.179415023,2.584962501,NA,0.093254402,7.156914928,Visit Metric,Fish Cover: LW,Chinook,0.225339711,0.045924688,-,1.255969025,1
Cover,FishCovTotal,1,,Summer_CHaMP,268.2593319,0.83578745,587,10,0.017,582,0.974874372,0.021890063,0.169566625,2.584962501,NA,0.09249446,7.126222186,Visit Metric,Fish Cover: Total,Chinook,0.206779574,0.037212949,-,1.219459162,1
Cover,FishCovNone,0,,Summer_CHaMP,257.4392343,0.19810721,586,11,0.018,585,0.979899497,0.01613743,0.163212645,2,NA,0.098440231,7.392203901,Visit Metric,Fish Cover: None,Chinook,0.20328113,0.040068486,-,1.24549866,1
Cover,FishCovSome,1,,Summer_CHaMP,257.4392343,0.844071975,586,11,0.018,580,0.971524288,0.017864429,0.167989909,2.584962501,NA,0.092333287,7.108134447,Visit Metric,Fish Cover: Some Cover,Chinook,0.202255712,0.034265804,-,1.203975368,1
Cover,FishCovTVeg,1,,Summer_CHaMP,103.6975901,1.068099792,587,10,0.017,573,0.959798995,0.010290787,0.15749509,3,NA,0.08050465,6.776357888,Visit Metric,Fish Cover: Terrestrial Vegetation,Chinook,0.180532443,0.023037353,-,1.146273465,1
Cover,UcutLgth_Pct,1,,Summer_CHaMP,42.69686629,2.067930847,597,0,0,368,0.61641541,0.020263321,0.158035653,2.584962501,0.11140016,0.082049605,6.98379844,Visit Metric,Percent Undercut by Length,Chinook,0.177707377,0.019671724,-,1.124476494,1
Cover,UcutArea_Pct,0,,Summer_CHaMP,1.748568486,2.250532495,597,0,0,368,0.61641541,0.031884385,0.165203903,2.584962501,0.12643502,0.087580643,7.036620419,Visit Metric,Percent Undercut by Area,Chinook,0.176132901,0.010928999,-,1.066154604,1
Cover,FishCovAqVeg,1,,Summer_CHaMP,90.86271826,2.205065799,479,118,0.198,257,0.430485762,0.029178521,0.160308085,2.584962501,NA,0.083101562,6.524277929,Visit Metric,Fish Cover: Aquatic Vegetation,Chinook,0.155749925,0.004558161,+,0.971566246,1
Land Classification,DistPrin1,1,aging data and from other data set,Summer_CHaMP,1.040471445,37.96911046,370,227,0.38,370,0.619765494,0.071754959,0.22424277,2.584962501,NA,0.135323242,8.966834618,NA,Disturbance Class PCA 1,Chinook,0.284876119,0.060633349,-,1.270391544,0
Land Classification,NatPrin1,1,aging data and from other data set,Summer_CHaMP,0.628325068,1.045514565,370,227,0.38,370,0.619765494,0.040819124,0.229120833,3,NA,0.128041566,9.003600683,NA,Natural Class PCA 1,Chinook,0.266260605,0.037139772,-,1.162096882,0
Land Classification,NatPrin2,1,aging data and from other data set,Summer_CHaMP,0.664633486,1.660612435,370,227,0.38,370,0.619765494,0.051396643,0.244396579,2.584962501,NA,0.152623682,10.82504281,NA,Natural Class PCA 2,Chinook,0.257327004,0.012930426,-,1.052907556,0
Riparian,RipCovBigTree,1,,Summer_CHaMP,49.40348879,1.217876905,597,0,0,485,0.81239531,0.053681375,0.141769903,3,0.140516778,0.066905011,5.074488384,Visit Metric,Riparian Cover: Big Tree,Chinook,0.211033724,0.069263821,-,1.488565057,1
Riparian,RipCovWood,0,,Summer_CHaMP,867.2674808,0.582012196,597,0,0,593,0.993299832,0.016100439,0.153699091,3,0.153225135,0.075074521,6.64082581,Visit Metric,Riparian Cover: Woody,Chinook,0.191011355,0.037312264,-,1.242761775,1
Riparian,RipCovUstoryNone,0,,Summer_CHaMP,251.6727835,0.217617381,597,0,0,597,1,0.033520495,0.165498241,2.584962501,0.156481298,0.092565441,7.167209478,NA,RipCovUstoryNone,Chinook,0.186684935,0.021186693,-,1.128017633,1
Riparian,RipCovUstory,0,,Summer_CHaMP,251.6727835,0.585383959,597,0,0,595,0.996649916,0.033367358,0.165345105,2.584962501,0.156328161,0.090788724,7.141189974,Visit Metric,Riparian Cover: Understory,Chinook,0.186684935,0.02133983,-,1.129062361,1
Riparian,RipCovCanNone,1,,Summer_CHaMP,135.1800512,0.131038359,597,0,0,597,1,0.028301441,0.144151896,3,0.139797947,0.06766141,5.440379128,Visit Metric,Riparian Cover: No Canopy,Chinook,0.183131669,0.038979773,-,1.270407634,1
Riparian,RipCovCanSome,1,,Summer_CHaMP,135.1800512,1.031413995,597,0,0,541,0.906197655,0.028301441,0.144151896,3,0.139797947,0.06766141,5.449498499,Visit Metric,Riparian Cover: Some Canopy,Chinook,0.183131669,0.038979773,-,1.270407634,1
Riparian,RipCovGrndNone,1,,Summer_CHaMP,440.5480711,0.39382402,597,0,0,596,0.998324958,0.017592418,0.158481317,2.584962501,0.149603397,0.094944875,6.938432544,Visit Metric,Riparian Cover: No Ground,Chinook,0.179469949,0.020988632,-,1.132436004,1
Riparian,RipCovGrnd,0,,Summer_CHaMP,435.1599799,0.450302546,597,0,0,597,1,0.016170103,0.157522441,2.584962501,0.148044766,0.092841022,6.938177016,Visit Metric,Riparian Cover: Ground,Chinook,0.173970835,0.016448394,-,1.104419369,1
Riparian,RipCovNonWood,0,,Summer_CHaMP,456.8977955,0.627231306,597,0,0,596,0.998324958,0.022049209,0.153788341,3,0.143679927,0.076139239,6.209481448,Visit Metric,Riparian Cover: Non-Woody,Chinook,0.168654858,0.014866517,-,1.096668686,1
Riparian,RipCovConif,0,,Summer_CHaMP,195.6982482,1.260385381,595,2,0.003,468,0.783919598,0.030921963,0.151253619,3,NA,0.069765938,5.766752937,Visit Metric,Riparian Cover: Coniferous,Chinook,0.166479512,0.015225893,-,1.100664654,1
SideChannel,WetSC_Pct,0,,Summer_CHaMP,49.12240159,3.373816432,587,10,0.017,116,0.194304858,0.033228895,0.152263413,3,NA,0.079308012,6.236039183,Visit Metric,Wetted Side Channel Percent By Area,NA,NA,NA,NA,NA,1
Size,CUMDRAINAG,0,,Summer_CHaMP,123629.2207,1.678475363,370,227,0.38,370,0.619765494,0.082773193,0.230895667,3.321928095,NA,0.113487296,7.804325633,NA,Drainage Area (Flowline),Chinook,0.323331841,0.092436174,-,1.400337411,0
Size,WetWdth_Avg,0,,Summer_CHaMP,41.33958929,0.839110556,588,9,0.015,588,0.984924623,0.019236892,0.168575965,3,NA,0.086237946,6.73898472,Visit Metric,Wetted Width Avg,Chinook,0.315202861,0.146626896,-,1.869797161,1
Size,WetWdth_Int,0,,Summer_CHaMP,61.02077122,0.96366896,595,2,0.003,595,0.996649916,0.036946802,0.185056985,3,NA,0.099843356,7.175965304,Visit Metric,Wetted Width Integrated,Chinook,0.304229352,0.119172366,-,1.643976589,1
Size,MeanU,0,,Summer_CHaMP,14448.31701,1.584255162,303,294,0.492,303,0.507537688,0.094959955,0.261100892,3.321928095,NA,0.140330938,9.37990351,NA,Mean Annual Flow,Chinook,0.301595691,0.040494799,-,1.155092535,0
Size,BfWdthInt,0,,Summer_CHaMP,79.35489255,0.80449361,593,4,0.007,593,0.993299832,0.026940631,0.173611896,3,NA,0.095820528,6.844985782,Visit Metric,Bankfull Width Integrated,Chinook,0.288908763,0.115296867,-,1.664106949,1
Size,Q,1,,Summer_CHaMP,1.886190611,1.776388663,564,33,0.055,564,0.944723618,0.03136321,0.18101638,3,NA,0.091034701,6.80906082,Visit Metric,Discharge,Chinook,0.265169049,0.084152669,-,1.4648898,0
Size,DpthThlwg_Avg,1,,Summer_CHaMP,0.043640508,0.632313665,593,4,0.007,593,0.993299832,0.015663233,0.17001059,3,NA,0.081101126,6.638716934,NA,DpthThlwg_Avg,Chinook,0.263550765,0.093540175,-,1.550202049,1
Size,BfWdth_Avg,0,,Summer_CHaMP,69.58887091,0.791565278,588,9,0.015,588,0.984924623,0.020304928,0.165896495,3,NA,0.093348769,6.851523041,Visit Metric,Bankfull Width Avg,Chinook,0.253025827,0.087129332,-,1.525202971,1
Size,DpthBf_Max,0,,Summer_CHaMP,0.380655295,0.511590551,584,13,0.022,584,0.978224456,0.013004924,0.178000044,3,NA,0.09535178,7.120879187,Visit Metric,Bankfull Depth Max,Chinook,0.228294336,0.050294291,-,1.282552128,1
