,ShortName,MetricGroupName,Name,MetricCategory,RestoInform
89,SubEstGrvl,Visit Metric,Substrate Est: Coarse and Fine Gravel,Substrate,1
90,FishCovLW,Visit Metric,Fish Cover: LW,Cover,1
91,SubEstSandFines,Visit Metric,Substrate Est: Sand and Fines,Substrate,1
92,LWFreq_Wet,Visit Metric,Large Wood Frequency: Wetted,Wood,1
93,FishCovTVeg,Visit Metric,Fish Cover: Terrestrial Vegetation,Cover,1
94,FishCovArt,Visit Metric,Fish Cover: Artificial,Cover,1
95,FishCovNone,Visit Metric,Fish Cover: None,Cover,1
96,LWFreq_Bf,Visit Metric,Large Wood Frequency: Bankfull,Wood,1
97,FishCovAqVeg,Visit Metric,Fish Cover: Aquatic Vegetation,Cover,1
98,SubEstBldr,Visit Metric,Substrate Est: Boulders,Substrate,1
99,SubEstCbl,Visit Metric,Substrate Est: Cobbles,Substrate,1
100,FishCovTotal,Visit Metric,Fish Cover: Total,Cover,1
101,UcutLgth_Pct,Visit Metric,Percent Undercut by Length,Cover,1
102,UcutArea_Pct,Visit Metric,Percent Undercut by Area,Cover,1
103,SC_Area,NA,SC_Area,SideChannel,1
104,SC_Area_Pct,NA,SC_Area_Pct,SideChannel,1
105,ChnlUnitTotal_Ct,NA,ChnlUnitTotal_Ct,ChannelUnit,1
106,LWVol_BfFstNT,Visit Metric,Large Wood Volume: Bankfull Fast NonTurbulent,Wood,1
107,CU_Ct,Visit Metric,Channel Unit Count,ChannelUnit,1
108,CU_Freq,Visit Metric,Channel Unit Frequency,ChannelUnit,1
109,Sin_CL,Visit Metric,Sinuosity Via Centerline,Complexity,1
110,avg_aug_temp,Visit Metric,Avg. August Temperature,Temperature,0
111,RipCovCanSome,Visit Metric,Riparian Cover: Some Canopy,Riparian,1
112,FishCovSome,Visit Metric,Fish Cover: Some Cover,Cover,1
113,Discharge_fish,NA,Discharge_fish,Size,0
114,Temp,NA,Temp,Temperature,0
115,PercentIceCover,NA,PercentIceCover,Cover,0
116,TotalVol,Channel Unit,Total Volume,Size,1
117,Dpth_Max,Channel Unit,Max Depth,Size,1
118,DpthThlwgExit,Channel Unit,Thalweg Exit Depth,Size,1
119,DpthResid,Channel Unit,Residual Depth,Size,1
120,LWCount,NA,LWCount,Wood,1
121,SubEstBdrk,NA,SubEstBdrk,Substrate,1
122,Ucut_Length,NA,Ucut_Length,Cover,1
123,FishCovAll,NA,FishCovAll,Cover,1
124,SubEstCandBldr,NA,SubEstCandBldr,Substrate,1
125,aug_temp,Visit Metric,August Temperature,Temperature,0
126,UcutLgth,NA,UcutLgth,Cover,1
127,LWcnt_Wet,NA,LWcnt_Wet,Wood,1
128,LWDens,Visit Metric,Large Wood Density,Wood,1
129,Dpth_Max_Avg,Channel Unit,Average maximum pool depth,Size,1
